#{"t_start": 1760184802.503352, "env_id": "None"}
r,l,t
101.0,1,2.791696
103.0,3,2.795684
101.0,3,2.799519
104.0,6,2.807423
101.0,1,2.80873
106.0,6,2.816116
102.0,4,2.821835
102.0,7,2.829931
104.0,4,2.835957
105.0,7,2.850307
105.0,6,2.857896
104.0,8,2.870416
102.0,3,2.876132
101.0,1,2.878122
102.0,3,2.886153
104.0,8,2.897511
102.0,2,2.900397
102.0,2,2.902915
101.0,2,2.905253
102.0,4,2.910372
102.0,2,2.913703
101.0,1,2.914943
104.0,4,2.920026
106.0,6,2.930261
104.0,4,2.935494
102.0,3,2.939137
103.0,3,2.944088
104.0,7,2.956138
104.0,5,2.965863
102.0,2,2.969394
105.0,5,2.977437
102.0,2,2.979904
102.0,3,2.983732
107.0,9,2.997571
101.0,1,2.998777
104.0,5,3.006772
101.0,1,3.007989
101.0,1,3.009722
102.0,5,3.015361
104.0,4,3.020604
102.0,3,3.02431
103.0,5,3.030072
101.0,1,3.03136
102.0,2,3.033813
101.0,3,3.038973
104.0,6,3.049632
101.0,2,3.053393
101.0,2,3.055931
101.0,1,3.057206
105.0,6,3.064531
101.0,1,3.065717
101.0,2,3.069534
102.0,2,3.071921
105.0,9,3.086136
104.0,4,3.091425
102.0,2,3.093879
102.0,4,3.101717
103.0,5,3.111278
101.0,1,3.11266
104.0,4,3.117906
101.0,1,3.119184
103.0,5,3.125197
102.0,3,3.128615
102.0,2,3.131653
2.0,10,3.147203
102.0,3,3.15145
102.0,2,3.153824
103.0,3,3.158801
101.0,2,3.161741
101.0,1,3.164058
105.0,6,3.173309
104.0,4,3.179365
101.0,3,3.182975
103.0,4,3.188541
101.0,1,3.190271
105.0,6,3.200573
104.0,8,3.213996
102.0,2,3.216413
101.0,1,3.217749
105.0,6,3.22808
104.0,5,3.236547
102.0,2,3.241555
101.0,1,3.24402
103.0,3,3.251914
105.0,9,3.27639
105.0,5,3.288043
101.0,1,3.291949
101.0,1,3.293594
102.0,2,3.29792
101.0,4,3.304212
105.0,5,3.313704
106.0,7,3.327829
104.0,5,3.335501
102.0,3,3.341478
101.0,1,3.342841
101.0,1,3.344615
104.0,5,3.353635
103.0,3,3.360369
101.0,2,3.364236
101.0,1,3.366017
102.0,2,3.368511
103.0,4,3.375903
101.0,1,3.378872
102.0,2,3.381793
101.0,1,3.383068
101.0,1,3.384418
101.0,1,3.385818
102.0,5,3.393427
102.0,4,3.398492
103.0,6,3.410511
103.0,4,3.416459
101.0,1,3.417722
101.0,2,3.420855
104.0,4,3.429418
102.0,2,3.431907
104.0,5,3.443356
105.0,5,3.450751
101.0,1,3.451954
101.0,1,3.453204
102.0,2,3.456873
104.0,7,3.469167
102.0,3,3.475008
106.0,7,3.485362
101.0,1,3.487149
101.0,1,3.488879
101.0,1,3.490869
104.0,6,3.498373
101.0,1,3.499585
105.0,7,3.509578
104.0,5,3.515632
103.0,5,3.524581
104.0,5,3.532472
107.0,9,3.546176
103.0,4,3.551412
5.0,10,3.567283
101.0,1,3.568794
103.0,5,3.577569
104.0,4,3.583238
101.0,3,3.587445
104.0,6,3.595969
102.0,4,3.600979
102.0,2,3.604941
103.0,6,3.613378
102.0,2,3.617395
101.0,4,3.624442
101.0,1,3.625709
102.0,2,3.62842
103.0,4,3.633064
102.0,2,3.637084
101.0,1,3.638996
104.0,6,3.64771
104.0,7,3.659063
101.0,2,3.662934
103.0,6,3.672418
103.0,6,3.682152
103.0,3,3.687693
102.0,2,3.691561
105.0,5,3.700197
101.0,1,3.701532
106.0,8,3.712415
102.0,2,3.715506
102.0,2,3.718441
102.0,2,3.721965
101.0,1,3.72381
103.0,3,3.729499
102.0,2,3.732731
103.0,4,3.737698
104.0,8,3.751519
104.0,7,3.760296
104.0,5,3.767226
101.0,3,3.772776
102.0,3,3.776448
101.0,1,3.778291
106.0,10,3.800675
104.0,4,3.809086
103.0,3,3.813348
105.0,6,3.820465
103.0,3,3.824983
102.0,3,3.829174
105.0,5,3.838386
101.0,1,3.840348
106.0,9,3.854039
104.0,5,3.860788
103.0,4,3.865841
103.0,4,3.870679
101.0,1,3.871932
104.0,7,3.880983
106.0,7,3.890094
103.0,7,3.899306
102.0,2,3.902675
101.0,1,3.904958
102.0,2,3.908047
101.0,4,3.914223
102.0,3,3.919787
101.0,1,3.922077
104.0,5,3.931011
103.0,5,3.939996
102.0,2,3.942384
102.0,3,3.946556
108.0,10,3.96147
104.0,5,3.968483
102.0,3,3.972587
104.0,6,3.983282
106.0,9,3.995455
5.0,10,4.010451
103.0,4,4.016378
102.0,6,4.025698
103.0,6,4.035899
105.0,5,4.044399
101.0,1,4.046319
103.0,5,4.055869
101.0,1,4.058325
101.0,1,4.0599
102.0,2,4.062286
102.0,3,4.067237
4.0,10,4.083777
101.0,1,4.086452
101.0,1,4.088528
101.0,2,4.092954
103.0,5,4.102182
104.0,6,4.112838
104.0,8,4.127668
101.0,2,4.131434
101.0,1,4.133976
103.0,3,4.140367
101.0,1,4.142567
102.0,2,4.146353
105.0,5,4.152739
102.0,7,4.164826
102.0,2,4.168669
101.0,3,4.174261
101.0,1,4.177179
103.0,3,4.181127
102.0,3,4.184869
101.0,1,4.186046
104.0,5,4.193127
102.0,3,4.196454
101.0,1,4.197628
105.0,7,4.206365
104.0,6,4.213969
102.0,3,4.217648
101.0,1,4.218918
103.0,4,4.224833
103.0,6,4.235067
103.0,5,4.242376
101.0,2,4.244848
101.0,1,4.246111
105.0,5,4.252112
101.0,2,4.255177
102.0,2,4.257541
102.0,2,4.260002
105.0,8,4.270127
101.0,2,4.272734
102.0,2,4.275162
101.0,1,4.276344
103.0,3,4.279952
101.0,3,4.283851
104.0,5,4.290316
101.0,1,4.291468
101.0,2,4.293779
103.0,3,4.297534
101.0,1,4.298791
101.0,1,4.299983
103.0,5,4.309001
103.0,4,4.316042
103.0,3,4.320533
101.0,1,4.321775
101.0,1,4.323016
102.0,2,4.325371
104.0,6,4.332391
103.0,3,4.337883
102.0,2,4.341352
103.0,4,4.348253
104.0,4,4.353783
104.0,5,4.359696
101.0,3,4.363387
101.0,1,4.365006
101.0,1,4.366217
102.0,2,4.368687
103.0,3,4.372033
102.0,4,4.376464
105.0,8,4.38709
103.0,3,4.390662
101.0,2,4.393208
104.0,4,4.398459
101.0,2,4.40079
106.0,9,4.412284
104.0,4,4.419097
106.0,7,4.43174
102.0,4,4.438654
101.0,1,4.440454
104.0,5,4.447328
