#{"t_start": 1760184802.4933827, "env_id": "None"}
r,l,t
103.0,4,2.805482
101.0,2,2.808136
104.0,6,2.815954
101.0,1,2.817276
102.0,3,2.82112
106.0,7,2.830417
101.0,1,2.831642
102.0,2,2.834029
104.0,7,2.842182
106.0,9,2.860148
101.0,1,2.861482
106.0,8,2.871608
102.0,2,2.874745
102.0,3,2.880219
101.0,2,2.883818
102.0,2,2.887931
104.0,4,2.897317
102.0,3,2.901122
103.0,6,2.910241
105.0,9,2.922362
101.0,3,2.926117
101.0,1,2.927337
101.0,1,2.928648
102.0,4,2.933568
101.0,1,2.935055
104.0,4,2.942541
105.0,6,2.950462
103.0,4,2.957544
101.0,1,2.959407
106.0,8,2.973893
103.0,3,2.979177
102.0,3,2.984773
104.0,5,2.991061
101.0,1,2.992306
104.0,5,2.998426
101.0,3,3.004838
105.0,7,3.014773
102.0,3,3.019592
101.0,1,3.020828
103.0,3,3.024028
102.0,2,3.026489
103.0,3,3.030394
101.0,1,3.031844
101.0,2,3.034151
102.0,2,3.036649
106.0,7,3.044957
102.0,3,3.050807
106.0,8,3.064567
102.0,2,3.067055
102.0,2,3.069556
101.0,2,3.072123
102.0,2,3.074398
106.0,9,3.088225
101.0,1,3.090088
101.0,1,3.092236
103.0,3,3.095971
102.0,2,3.098649
104.0,4,3.103739
102.0,3,3.109621
101.0,2,3.113519
102.0,4,3.120982
103.0,5,3.127742
101.0,1,3.129049
106.0,7,3.137363
102.0,3,3.141467
102.0,2,3.144
102.0,2,3.14698
101.0,1,3.148741
104.0,6,3.15862
105.0,6,3.166273
101.0,1,3.168665
101.0,1,3.170007
101.0,1,3.171547
105.0,7,3.183145
102.0,2,3.185606
104.0,6,3.194151
104.0,5,3.201668
102.0,4,3.208103
101.0,2,3.212287
102.0,3,3.218321
103.0,4,3.223862
103.0,3,3.22759
101.0,1,3.22905
105.0,7,3.241501
101.0,1,3.243555
101.0,2,3.246424
102.0,2,3.251299
103.0,4,3.261739
104.0,4,3.273797
102.0,2,3.278337
101.0,1,3.281503
104.0,5,3.292454
104.0,4,3.303421
102.0,2,3.307753
104.0,5,3.316935
101.0,2,3.321019
103.0,4,3.326238
103.0,3,3.332157
101.0,1,3.335966
104.0,5,3.344239
104.0,4,3.351303
101.0,1,3.352716
101.0,1,3.354419
102.0,2,3.358086
102.0,2,3.362236
103.0,4,3.370137
103.0,4,3.377175
101.0,1,3.37836
103.0,3,3.383473
101.0,1,3.385657
105.0,6,3.395655
102.0,2,3.398073
105.0,5,3.406059
101.0,2,3.408364
101.0,1,3.409721
102.0,2,3.413586
102.0,3,3.420345
102.0,3,3.425095
101.0,1,3.426306
101.0,1,3.4276
104.0,7,3.440565
101.0,1,3.44175
102.0,3,3.447265
106.0,7,3.460593
106.0,7,3.471147
101.0,1,3.473108
101.0,1,3.474971
101.0,1,3.476807
102.0,2,3.481122
102.0,2,3.484809
101.0,1,3.486876
101.0,1,3.488179
102.0,3,3.491654
105.0,6,3.502058
102.0,3,3.5054
103.0,4,3.51081
101.0,1,3.512079
101.0,1,3.514038
103.0,6,3.521854
101.0,1,3.523095
101.0,1,3.524276
102.0,2,3.527075
101.0,1,3.529014
101.0,1,3.530243
102.0,3,3.536313
101.0,1,3.537629
103.0,3,3.542236
6.0,10,3.557307
104.0,4,3.563137
4.0,10,3.578667
105.0,8,3.591856
101.0,2,3.594358
102.0,2,3.597321
106.0,8,3.608185
103.0,4,3.61472
101.0,4,3.620846
104.0,4,3.626997
101.0,1,3.629256
104.0,7,3.639568
101.0,1,3.640762
104.0,5,3.648746
106.0,7,3.659791
101.0,1,3.661184
101.0,1,3.662459
101.0,1,3.663758
104.0,5,3.672713
102.0,3,3.677438
102.0,5,3.684797
104.0,4,3.692014
102.0,2,3.695763
101.0,1,3.697488
102.0,2,3.701349
102.0,2,3.7052
101.0,1,3.707358
102.0,2,3.710035
101.0,1,3.711411
101.0,2,3.713932
105.0,5,3.720243
101.0,1,3.722208
101.0,1,3.724149
101.0,2,3.726657
103.0,6,3.737552
101.0,1,3.739303
104.0,7,3.749517
101.0,1,3.751374
103.0,4,3.758914
103.0,3,3.762844
102.0,3,3.766443
101.0,1,3.767663
105.0,10,3.782565
104.0,9,3.800061
102.0,2,3.804247
104.0,4,3.812684
106.0,9,3.826705
102.0,4,3.832087
105.0,6,3.840891
106.0,9,3.857894
102.0,6,3.865259
104.0,4,3.870656
102.0,2,3.873176
103.0,3,3.876966
102.0,3,3.88055
103.0,3,3.884799
101.0,2,3.88733
104.0,5,3.893347
104.0,4,3.898019
102.0,4,3.903715
101.0,3,3.907372
102.0,3,3.912465
103.0,3,3.917922
101.0,1,3.919168
101.0,1,3.920457
102.0,2,3.924056
101.0,2,3.927544
103.0,4,3.935801
104.0,5,3.944691
104.0,6,3.953498
106.0,9,3.967431
101.0,1,3.968696
101.0,1,3.970102
102.0,2,3.972587
102.0,4,3.978228
103.0,4,3.984381
104.0,8,3.99735
104.0,5,4.003359
106.0,9,4.017042
103.0,4,4.02299
101.0,1,4.024282
102.0,2,4.028126
101.0,1,4.02936
102.0,2,4.032595
102.0,2,4.035542
101.0,1,4.036835
101.0,2,4.039769
104.0,5,4.048804
6.0,10,4.068138
102.0,2,4.07103
104.0,4,4.077053
101.0,1,4.078515
101.0,1,4.079735
103.0,4,4.085886
101.0,1,4.08791
101.0,1,4.089901
102.0,4,4.098337
106.0,8,4.113878
106.0,10,4.131367
102.0,3,4.137447
102.0,5,4.147477
102.0,3,4.154351
101.0,1,4.156156
102.0,3,4.16042
103.0,5,4.167515
103.0,4,4.174613
104.0,5,4.184057
102.0,3,4.189584
101.0,1,4.190964
101.0,1,4.192323
105.0,6,4.199754
101.0,1,4.20157
103.0,7,4.209798
103.0,4,4.214738
107.0,8,4.225086
101.0,1,4.226262
101.0,1,4.227496
103.0,5,4.234651
105.0,5,4.242961
104.0,6,4.252249
101.0,1,4.253488
103.0,3,4.257239
102.0,2,4.25964
104.0,8,4.269846
101.0,2,4.272192
104.0,4,4.27708
103.0,3,4.281385
102.0,3,4.285041
101.0,2,4.287452
102.0,3,4.291123
105.0,6,4.299029
104.0,5,4.304866
102.0,3,4.308663
102.0,2,4.311584
102.0,3,4.317185
101.0,2,4.320622
102.0,2,4.324037
106.0,6,4.332895
105.0,5,4.338881
105.0,8,4.351194
101.0,2,4.354619
104.0,5,4.362425
103.0,4,4.367155
102.0,2,4.369533
104.0,6,4.377312
101.0,1,4.378535
106.0,9,4.38894
103.0,5,4.395811
103.0,3,4.399316
101.0,2,4.401827
102.0,2,4.404334
102.0,2,4.407091
103.0,3,4.410619
104.0,9,4.422012
4.0,10,4.439499
102.0,2,4.443422
101.0,2,4.446749
102.0,2,4.450293
102.0,3,4.45503
106.0,7,4.463165
101.0,2,4.465602
102.0,2,4.469004
101.0,1,4.470369
101.0,3,4.47389
103.0,5,4.479466
101.0,1,4.480711
101.0,1,4.481939
104.0,6,4.489477
102.0,2,4.491906
105.0,5,4.497997
102.0,2,4.50077
102.0,2,4.503049
105.0,6,4.510141
101.0,2,4.512672
101.0,1,4.513898
106.0,8,4.523961
101.0,1,4.525334
101.0,1,4.526598
102.0,4,4.53263
101.0,1,4.534393
101.0,1,4.536092
102.0,2,4.539413
104.0,4,4.546174
102.0,3,4.55157
102.0,2,4.555211
101.0,1,4.557202
101.0,6,4.566307
104.0,6,4.575434
102.0,2,4.579086
101.0,1,4.580273
101.0,1,4.581578
101.0,1,4.582945
101.0,1,4.584853
103.0,3,4.590139
101.0,2,4.592602
104.0,8,4.605241
101.0,1,4.606492
102.0,3,4.610621
106.0,8,4.622787
101.0,2,4.626521
101.0,1,4.628751
103.0,4,4.637203
102.0,4,4.643967
101.0,2,4.647195
101.0,1,4.649196
104.0,5,4.659156
102.0,2,4.663073
106.0,8,4.676856
101.0,1,4.678103
101.0,1,4.679512
103.0,4,4.689236
103.0,3,4.694602
101.0,1,4.696005
102.0,5,4.704773
101.0,2,4.70816
102.0,2,4.710676
104.0,8,4.723686
103.0,4,4.729075
101.0,2,4.731505
106.0,6,4.744623
103.0,3,4.750974
101.0,2,4.755209
102.0,3,4.758571
105.0,5,4.764773
104.0,4,4.772688
101.0,1,4.774468
101.0,1,4.776285
104.0,4,4.783571
104.0,5,4.795636
106.0,9,4.807492
104.0,6,4.814173
102.0,2,4.817142
102.0,2,4.819666
102.0,2,4.822047
101.0,1,4.823286
101.0,2,4.825719
103.0,4,4.830453
101.0,2,4.833599
102.0,3,4.837535
104.0,8,4.847009
102.0,2,4.849908
103.0,4,4.85472
102.0,2,4.857025
101.0,1,4.858301
104.0,8,4.869261
105.0,8,4.878927
102.0,2,4.881557
102.0,2,4.884203
102.0,2,4.88656
105.0,7,4.89483
102.0,3,4.899449
101.0,1,4.900685
101.0,2,4.903105
103.0,4,4.907792
103.0,3,4.911616
101.0,1,4.913094
102.0,3,4.917162
101.0,2,4.919574
103.0,6,4.926536
101.0,1,4.927822
104.0,5,4.934154
101.0,2,4.936506
102.0,2,4.938923
102.0,2,4.941144
103.0,3,4.945292
101.0,2,4.948045
102.0,3,4.952063
102.0,2,4.954742
103.0,3,4.958346
103.0,5,4.964906
102.0,4,4.969761
101.0,2,4.97198
103.0,3,4.975729
101.0,1,4.977217
104.0,5,4.983228
104.0,5,4.989262
7.0,10,5.005277
102.0,2,5.008381
105.0,6,5.018182
102.0,3,5.022551
101.0,1,5.023739
103.0,3,5.028543
101.0,1,5.02973
103.0,4,5.034728
102.0,2,5.037278
101.0,1,5.038634
