#{"t_start": 1760181361.28534, "env_id": "None"}
r,l,t
105.0,7,2.968828
101.0,1,2.970313
104.0,4,2.975253
101.0,1,2.976578
101.0,2,2.978872
105.0,8,2.994849
102.0,3,2.999517
101.0,1,3.002413
102.0,3,3.009214
101.0,1,3.011083
101.0,1,3.012568
106.0,6,3.024054
103.0,4,3.02849
101.0,1,3.030154
104.0,8,3.040209
103.0,3,3.044127
107.0,10,3.061041
101.0,1,3.063869
103.0,4,3.071388
105.0,5,3.078453
101.0,1,3.079803
101.0,2,3.082186
101.0,1,3.083526
101.0,1,3.084759
101.0,1,3.086059
101.0,1,3.087373
105.0,6,3.095161
104.0,6,3.102008
101.0,2,3.104595
106.0,6,3.115702
101.0,2,3.119433
103.0,8,3.130377
105.0,7,3.139199
102.0,3,3.143444
103.0,5,3.150008
101.0,1,3.151363
101.0,1,3.15311
101.0,2,3.155969
102.0,2,3.158227
103.0,3,3.161853
101.0,2,3.164308
101.0,1,3.165634
101.0,1,3.166905
101.0,1,3.168114
103.0,3,3.172467
101.0,1,3.173743
102.0,3,3.177295
104.0,4,3.181785
101.0,3,3.185335
101.0,1,3.186606
106.0,6,3.194111
103.0,3,3.197549
102.0,4,3.203276
101.0,1,3.204567
102.0,4,3.209414
101.0,1,3.210565
101.0,1,3.211778
104.0,5,3.217764
101.0,1,3.219132
101.0,1,3.220312
101.0,2,3.222561
102.0,3,3.226068
103.0,3,3.22952
102.0,2,3.232142
103.0,6,3.239292
104.0,5,3.245138
103.0,5,3.250919
102.0,2,3.253311
102.0,3,3.256828
105.0,6,3.264193
102.0,3,3.267719
103.0,3,3.271122
104.0,5,3.276839
101.0,1,3.278034
101.0,1,3.279725
101.0,1,3.281096
101.0,1,3.282289
103.0,5,3.288043
103.0,3,3.291452
104.0,5,3.298185
103.0,4,3.302965
104.0,5,3.308867
102.0,2,3.311734
104.0,4,3.316277
101.0,1,3.317487
104.0,8,3.327755
101.0,1,3.329974
104.0,5,3.338457
104.0,5,3.348142
101.0,1,3.350979
101.0,1,3.353234
105.0,7,3.364744
103.0,4,3.371346
101.0,1,3.373637
104.0,9,3.389989
103.0,3,3.393612
103.0,3,3.39712
104.0,4,3.402361
103.0,3,3.407619
103.0,5,3.416102
102.0,2,3.419901
106.0,8,3.4292
102.0,2,3.431587
101.0,2,3.434022
101.0,1,3.435581
106.0,9,3.446176
102.0,2,3.448612
101.0,1,3.449905
104.0,6,3.460313
101.0,2,3.464544
102.0,3,3.472449
105.0,9,3.486326
103.0,4,3.49109
102.0,2,3.493345
104.0,4,3.498418
101.0,6,3.506405
106.0,6,3.513665
102.0,2,3.516161
101.0,1,3.517409
101.0,1,3.518704
101.0,2,3.521144
103.0,3,3.524712
101.0,2,3.52722
105.0,5,3.533365
102.0,3,3.536871
